# Run 2016-05-30 02:56:36
# Parameters:
#	degap: False
#	translate: False
#	hydrophobicity_scale: Kyte-Doolittle
#	merge: False
#	aas: all
#	begin_aa: 1
#	pH: 7.2
#	out_fname: ../data/scer-proteome-aa-freqs.txt
#	sequence: None
#	exclude: False
#	end_aa: None
#	in_fname: c:/Dropbox (Drummond Lab)/bio/genomes/scer_orf_trans_all.fasta
#	query: None
orf	length	charge	pI	hydrophobicity	f.A	f.C	f.D	f.E	f.F	f.G	f.H	f.I	f.K	f.L	f.M	f.N	f.P	f.Q	f.R	f.S	f.T	f.V	f.W	f.Y	n.A	n.C	n.D	n.E	n.F	n.G	n.H	n.I	n.K	n.L	n.M	n.N	n.P	n.Q	n.R	n.S	n.T	n.V	n.W	n.Y
#YMR195W ICY1 SGDID:S000004808, Chr XIII from 654034-654417, Genome Release 64-1-1, Verified ORF, "Protein of unknown function, required for viability in rich media of cells lacking mitochondrial DNA; mutants have an invasive growth defect with elongated morphology; induced by amino acid starvation"
YMR195W	127	-8.0611	4.4060	-0.6827	0.0866	0.0157	0.0787	0.0472	0.0551	0.0236	0.0236	0.0000	0.0394	0.0866	0.0236	0.1102	0.0394	0.0551	0.0236	0.1024	0.0709	0.0551	0.0079	0.0551	11	2	10	6	7	3	3	0	5	11	3	14	5	7	3	13	9	7	1	7
#YMR196W YMR196W SGDID:S000004809, Chr XIII from 655076-658342, Genome Release 64-1-1, Uncharacterized ORF, "Putative protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm; YMR196W is not an essential gene"
YMR196W	1088	-35.8154	5.1897	-0.6610	0.0515	0.0074	0.0689	0.0892	0.0625	0.0607	0.0230	0.0414	0.0689	0.0827	0.0248	0.0643	0.0515	0.0211	0.0551	0.0597	0.0460	0.0515	0.0239	0.0460	56	8	75	97	68	66	25	45	75	90	27	70	56	23	60	65	50	56	26	50
#YMR197C VTI1 SGDID:S000004810, Chr XIII from 659198-658545, Genome Release 64-1-1, reverse complement, Verified ORF, "Protein involved in cis-Golgi membrane traffic; v-SNARE that interacts with two t-SNARES, Sed5p and Pep12p; required for multiple vacuolar sorting pathways"
YMR197C	217	-0.9756	6.2674	-0.4673	0.0737	0.0000	0.0876	0.0553	0.0323	0.0276	0.0092	0.0691	0.0737	0.1336	0.0230	0.0415	0.0138	0.0783	0.0645	0.1014	0.0553	0.0369	0.0046	0.0184	16	0	19	12	7	6	2	15	16	29	5	9	3	17	14	22	12	8	1	4
#YMR198W CIK1 SGDID:S000004811, Chr XIII from 659745-661529, Genome Release 64-1-1, Verified ORF, "Kinesin-associated protein required for both karyogamy and mitotic spindle organization, interacts stably and specifically with Kar3p and may function to target this kinesin to a specific cellular role; has similarity to Vik1p"
YMR198W	594	-8.0008	6.0707	-0.7783	0.0387	0.0202	0.0623	0.1128	0.0286	0.0303	0.0219	0.0657	0.1111	0.1010	0.0236	0.0741	0.0253	0.0455	0.0505	0.0556	0.0522	0.0539	0.0034	0.0236	23	12	37	67	17	18	13	39	66	60	14	44	15	27	30	33	31	32	2	14
#YMR199W CLN1 SGDID:S000004812, Chr XIII from 662644-664284, Genome Release 64-1-1, Verified ORF, "G1 cyclin involved in regulation of the cell cycle; activates Cdc28p kinase to promote the G1 to S phase transition; late G1 specific expression depends on transcription factor complexes, MBF (Swi6p-Mbp1p) and SBF (Swi6p-Swi4p)"
YMR199W	546	-11.9007	5.5113	-0.4892	0.0330	0.0165	0.0476	0.0586	0.0385	0.0403	0.0220	0.0751	0.0476	0.0824	0.0275	0.0916	0.0421	0.0604	0.0366	0.1154	0.0641	0.0495	0.0092	0.0421	18	9	26	32	21	22	12	41	26	45	15	50	23	33	20	63	35	27	5	23
#YMR200W ROT1 SGDID:S000004813, Chr XIII from 664752-665522, Genome Release 64-1-1, Verified ORF, "Molecular chaperone involved in protein folding in the ER; mutation causes defects in cell wall synthesis and in lysis of autophagic bodies, suppresses tor2 mutations, and is synthetically lethal with kar2-1 and with rot2 mutations"
YMR200W	256	-4.1421	5.3553	-0.4543	0.0391	0.0117	0.0469	0.0508	0.0391	0.0703	0.0117	0.0430	0.0430	0.1016	0.0234	0.0586	0.0664	0.0391	0.0391	0.1055	0.0820	0.0391	0.0156	0.0742	10	3	12	13	10	18	3	11	11	26	6	15	17	10	10	27	21	10	4	19
#YMR201C RAD14 SGDID:S000004814, Chr XIII from 666933-665845,667044-667018, Genome Release 64-1-1, reverse complement, Verified ORF, "Protein that recognizes and binds damaged DNA during nucleotide excision repair; subunit of Nucleotide Excision Repair Factor 1 (NEF1); contains zinc finger motif; homolog of human XPA protein"
YMR201C	371	-0.7318	7.0151	-1.1070	0.0566	0.0216	0.0728	0.1051	0.0323	0.0512	0.0350	0.0458	0.0997	0.0755	0.0162	0.0512	0.0512	0.0431	0.0755	0.0485	0.0512	0.0323	0.0081	0.0270	21	8	27	39	12	19	13	17	37	28	6	19	19	16	28	18	19	12	3	10
#YMR202W ERG2 SGDID:S000004815, Chr XIII from 667537-668205, Genome Release 64-1-1, Verified ORF, "C-8 sterol isomerase, catalyzes the isomerization of the delta-8 double bond to the delta-7 position at an intermediate step in ergosterol biosynthesis"
YMR202W	222	-6.6974	5.5584	0.0793	0.0766	0.0090	0.0450	0.0495	0.0586	0.0856	0.0360	0.0495	0.0450	0.1216	0.0405	0.0450	0.0360	0.0270	0.0180	0.0450	0.0811	0.0541	0.0135	0.0631	17	2	10	11	13	19	8	11	10	27	9	10	8	6	4	10	18	12	3	14
#YMR203W TOM40 SGDID:S000004816, Chr XIII from 668492-669655, Genome Release 64-1-1, Verified ORF, "Component of the TOM (translocase of outer membrane) complex responsible for recognition and initial import steps for all mitochondrially directed proteins; constitutes the core element of the protein conducting pore"
YMR203W	387	-6.1275	5.2392	-0.1959	0.0775	0.0103	0.0491	0.0413	0.0543	0.0775	0.0103	0.0413	0.0491	0.1085	0.0155	0.0568	0.0517	0.0724	0.0258	0.0956	0.0672	0.0594	0.0078	0.0284	30	4	19	16	21	30	4	16	19	42	6	22	20	28	10	37	26	23	3	11
#YMR204C INP1 SGDID:S000004817, Chr XIII from 671325-670063, Genome Release 64-1-1, reverse complement, Verified ORF, "Peripheral membrane protein of peroxisomes involved in peroxisomal inheritance; recruitment to peroxisomes is mediated by interaction with Pex3p at the peroxisomal membrane"
YMR204C	420	3.1682	8.1934	-0.7552	0.0381	0.0119	0.0690	0.0452	0.0476	0.0405	0.0214	0.0738	0.0786	0.0667	0.0071	0.0905	0.0524	0.0571	0.0429	0.1238	0.0571	0.0429	0.0024	0.0310	16	5	29	19	20	17	9	31	33	28	3	38	22	24	18	52	24	18	1	13
#YMR205C PFK2 SGDID:S000004818, Chr XIII from 674766-671887, Genome Release 64-1-1, reverse complement, Verified ORF, "Beta subunit of heterooctameric phosphofructokinase involved in glycolysis, indispensable for anaerobic growth, activated by fructose-2,6-bisphosphate and AMP, mutation inhibits glucose induction of cell cycle-related genes"
YMR205C	959	-7.5080	6.3006	-0.2297	0.1032	0.0115	0.0521	0.0626	0.0271	0.0730	0.0198	0.0584	0.0521	0.0803	0.0250	0.0448	0.0438	0.0282	0.0542	0.0803	0.0667	0.0709	0.0104	0.0355	99	11	50	60	26	70	19	56	50	77	24	43	42	27	52	77	64	68	10	34
#YMR206W YMR206W SGDID:S000004819, Chr XIII from 675896-676837, Genome Release 64-1-1, Uncharacterized ORF, "Putative protein of unknown function; YMR206W is not an essential gene"
YMR206W	313	7.4557	8.8173	-0.9419	0.0607	0.0224	0.0543	0.0383	0.0319	0.0288	0.0479	0.0447	0.0543	0.0575	0.0160	0.0831	0.0671	0.0575	0.0607	0.1629	0.0447	0.0319	0.0000	0.0351	19	7	17	12	10	9	15	14	17	18	5	26	21	18	19	51	14	10	0	11
#YMR207C HFA1 SGDID:S000004820, Chr XIII from 683564-677193, Genome Release 64-1-1, reverse complement, Verified ORF, "Mitochondrial acetyl-coenzyme A carboxylase, catalyzes the production of malonyl-CoA in mitochondrial fatty acid biosynthesis"
YMR207C	2123	8.5724	7.9369	-0.3316	0.0513	0.0099	0.0556	0.0702	0.0400	0.0589	0.0203	0.0838	0.0730	0.0984	0.0207	0.0551	0.0433	0.0349	0.0561	0.0749	0.0443	0.0593	0.0118	0.0382	109	21	118	149	85	125	43	178	155	209	44	117	92	74	119	159	94	126	25	81
#YMR208W ERG12 SGDID:S000004821, Chr XIII from 684467-685798, Genome Release 64-1-1, Verified ORF, "Mevalonate kinase, acts in the biosynthesis of isoprenoids and sterols, including ergosterol, from mevalonate"
YMR208W	443	-12.0411	5.2837	-0.0266	0.0700	0.0203	0.0609	0.0542	0.0474	0.0677	0.0226	0.0677	0.0677	0.1377	0.0158	0.0542	0.0384	0.0339	0.0203	0.0858	0.0655	0.0429	0.0068	0.0203	31	9	27	24	21	30	10	30	30	61	7	24	17	15	9	38	29	19	3	9
#YMR209C YMR209C SGDID:S000004822, Chr XIII from 687284-685911, Genome Release 64-1-1, reverse complement, Uncharacterized ORF, "Putative S-adenosylmethionine-dependent methyltransferase; YMR209C is not an essential gene"
YMR209C	457	0.4616	7.3313	-0.2239	0.0416	0.0131	0.0525	0.0656	0.0416	0.0569	0.0306	0.0744	0.0700	0.1204	0.0153	0.0460	0.0306	0.0394	0.0481	0.0941	0.0350	0.0656	0.0088	0.0503	19	6	24	30	19	26	14	34	32	55	7	21	14	18	22	43	16	30	4	23
#YMR210W YMR210W SGDID:S000004823, Chr XIII from 687516-688865, Genome Release 64-1-1, Verified ORF, "Putative acyltransferase with similarity to Eeb1p and Eht1p, has a minor role in medium-chain fatty acid ethyl ester biosynthesis; may be involved in lipid metabolism and detoxification"
YMR210W	449	5.2366	8.3653	-0.5065	0.0468	0.0156	0.0601	0.0601	0.0490	0.0668	0.0267	0.0646	0.0668	0.0869	0.0200	0.0624	0.0624	0.0178	0.0646	0.0557	0.0624	0.0490	0.0067	0.0557	21	7	27	27	22	30	12	29	30	39	9	28	28	8	29	25	28	22	3	25
#YMR211W DML1 SGDID:S000004824, Chr XIII from 689083-690510, Genome Release 64-1-1, Verified ORF, "Essential protein involved in mtDNA inheritance, may also function in the partitioning of the mitochondrial organelle or in the segregation of chromosomes, exhibits regions similar to members of a GTPase family"
YMR211W	475	-20.3776	5.0325	-0.7966	0.0316	0.0084	0.0758	0.0758	0.0589	0.0484	0.0295	0.0463	0.0589	0.0758	0.0253	0.0674	0.0400	0.0379	0.0484	0.1074	0.0589	0.0358	0.0189	0.0505	15	4	36	36	28	23	14	22	28	36	12	32	19	18	23	51	28	17	9	24
#YMR212C EFR3 SGDID:S000004825, Chr XIII from 693043-690695, Genome Release 64-1-1, reverse complement, Verified ORF, "Protein required for Stt4-containing phosphoinositide kinase patch assembly at the plasma membrane; exhibits synthetic lethal genetic interactions with PHO85; has sequence similarity to the Drosophila rolling blackout (RBO) gene"
YMR212C	782	0.1056	7.2252	-0.3910	0.0422	0.0128	0.0716	0.0537	0.0422	0.0256	0.0166	0.0575	0.0844	0.1189	0.0256	0.0844	0.0217	0.0358	0.0409	0.1036	0.0601	0.0639	0.0013	0.0371	33	10	56	42	33	20	13	45	66	93	20	66	17	28	32	81	47	50	1	29
#YMR213W CEF1 SGDID:S000004826, Chr XIII from 693381-695153, Genome Release 64-1-1, Verified ORF, "Essential splicing factor; associated with Prp19p and the spliceosome, contains an N-terminal c-Myb DNA binding motif necessary for cell viability but not for Prp19p association, evolutionarily conserved and homologous to S. pombe Cdc5p"
YMR213W	590	3.3563	8.3913	-0.9322	0.0712	0.0051	0.0525	0.1085	0.0203	0.0390	0.0153	0.0492	0.1068	0.0881	0.0254	0.0542	0.0525	0.0610	0.0593	0.0610	0.0475	0.0458	0.0068	0.0305	42	3	31	64	12	23	9	29	63	52	15	32	31	36	35	36	28	27	4	18
#YMR214W SCJ1 SGDID:S000004827, Chr XIII from 695350-696483, Genome Release 64-1-1, Verified ORF, "One of several homologs of bacterial chaperone DnaJ, located in the ER lumen where it cooperates with Kar2p to mediate maturation of proteins"
YMR214W	377	-0.0498	7.1840	-0.5276	0.0531	0.0212	0.0663	0.0663	0.0424	0.1326	0.0239	0.0557	0.0902	0.0716	0.0292	0.0318	0.0477	0.0531	0.0424	0.0424	0.0292	0.0584	0.0027	0.0398	20	8	25	25	16	50	9	21	34	27	11	12	18	20	16	16	11	22	1	15
#YMR215W GAS3 SGDID:S000004828, Chr XIII from 696796-698370, Genome Release 64-1-1, Verified ORF, "Low abundance, possibly inactive member of the GAS family of GPI-containing proteins; putative 1,3-beta-glucanosyltransferase with similarity to other GAS family members; localizes to the cell wall; mRNA induced during sporulation"
YMR215W	524	-20.3602	4.4441	-0.3380	0.0668	0.0115	0.0744	0.0382	0.0439	0.0668	0.0057	0.0573	0.0534	0.0802	0.0095	0.0840	0.0344	0.0229	0.0210	0.1469	0.0687	0.0534	0.0038	0.0573	35	6	39	20	23	35	3	30	28	42	5	44	18	12	11	77	36	28	2	30
#YMR216C SKY1 SGDID:S000004829, Chr XIII from 701039-698811, Genome Release 64-1-1, reverse complement, Verified ORF, "SR protein kinase (SRPK) involved in regulating proteins involved in mRNA metabolism and cation homeostasis; similar to human SRPK1"
YMR216C	742	-16.0603	5.8643	-0.7164	0.0445	0.0135	0.0741	0.0647	0.0337	0.0566	0.0323	0.0647	0.0687	0.0755	0.0229	0.0836	0.0418	0.0270	0.0472	0.1240	0.0458	0.0418	0.0121	0.0256	33	10	55	48	25	42	24	48	51	56	17	62	31	20	35	92	34	31	9	19
#YMR217W GUA1 SGDID:S000004830, Chr XIII from 701790-703367, Genome Release 64-1-1, Verified ORF, "GMP synthase; highly conserved enzyme that catalyzes the second step in the biosynthesis of GMP from inosine 5'-phosphate (IMP); transcription is not subject to regulation by guanine but is negatively regulated by nutrient starvation; reduction-of-function mutation gua1-G388D causes changes in cellular guanine nucleotide pools, defects in general protein synthesis, and impaired translation of GCN4 mRNA"
YMR217W	525	-8.2222	6.1198	-0.1676	0.0610	0.0095	0.0552	0.0724	0.0400	0.0819	0.0324	0.0800	0.0724	0.0876	0.0229	0.0400	0.0457	0.0305	0.0381	0.0495	0.0610	0.0800	0.0133	0.0267	32	5	29	38	21	43	17	42	38	46	12	21	24	16	20	26	32	42	7	14
#YMR218C TRS130 SGDID:S000004831, Chr XIII from 706887-703579, Genome Release 64-1-1, reverse complement, Verified ORF, "One of 10 subunits of the transport protein particle (TRAPP) complex of the cis-Golgi which mediates vesicle docking and fusion; involved in ER to Golgi membrane traffic; mutation activates transcription of OCH1"
YMR218C	1102	-16.1488	5.6904	-0.2015	0.0327	0.0154	0.0554	0.0826	0.0653	0.0390	0.0145	0.0808	0.0835	0.1162	0.0172	0.0599	0.0281	0.0408	0.0399	0.0735	0.0417	0.0653	0.0109	0.0372	36	17	61	91	72	43	16	89	92	128	19	66	31	45	44	81	46	72	12	41
#YMR219W ESC1 SGDID:S000004832, Chr XIII from 707133-712109, Genome Release 64-1-1, Verified ORF, "Protein localized to the nuclear periphery, involved in telomeric silencing; interacts with PAD4-domain of Sir4p"
YMR219W	1658	-213.2829	4.2470	-1.1969	0.0434	0.0042	0.0959	0.1423	0.0217	0.0356	0.0253	0.0470	0.0724	0.0531	0.0133	0.0808	0.0332	0.0374	0.0356	0.1218	0.0555	0.0537	0.0006	0.0271	72	7	159	236	36	59	42	78	120	88	22	134	55	62	59	202	92	89	1	45
#YMR220W ERG8 SGDID:S000004833, Chr XIII from 712316-713671, Genome Release 64-1-1, Verified ORF, "Phosphomevalonate kinase, an essential cytosolic enzyme that acts in the biosynthesis of isoprenoids and sterols, including ergosterol, from mevalonate"
YMR220W	451	-7.4572	6.1063	-0.3909	0.0732	0.0133	0.0798	0.0554	0.0421	0.0665	0.0333	0.0554	0.0687	0.0843	0.0133	0.0377	0.0377	0.0333	0.0488	0.0843	0.0510	0.0710	0.0133	0.0377	33	6	36	25	19	30	15	25	31	38	6	17	17	15	22	38	23	32	6	17
#YMR221C YMR221C SGDID:S000004834, Chr XIII from 715445-713931, Genome Release 64-1-1, reverse complement, Uncharacterized ORF, "Putative protein of unknown function; the authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies; physical interaction with Atg27p suggests a possible role in autophagy"
YMR221C	504	-1.4334	6.7498	0.4835	0.0556	0.0218	0.0397	0.0317	0.0694	0.0655	0.0139	0.0833	0.0337	0.1468	0.0179	0.0397	0.0456	0.0298	0.0357	0.0794	0.0714	0.0655	0.0119	0.0417	28	11	20	16	35	33	7	42	17	74	9	20	23	15	18	40	36	33	6	21
#YMR222C FSH2 SGDID:S000004835, Chr XIII from 716309-715638, Genome Release 64-1-1, reverse complement, Verified ORF, "Putative serine hydrolase that localizes to the cytoplasm; sequence is similar to S. cerevisiae Fsh1p and Fsh3p and the human candidate tumor suppressor OVCA2"
YMR222C	223	-12.7620	4.5432	-0.2520	0.0673	0.0045	0.0493	0.0628	0.0628	0.1076	0.0269	0.0269	0.0314	0.1031	0.0224	0.0404	0.0717	0.0628	0.0224	0.0493	0.0673	0.0628	0.0090	0.0493	15	1	11	14	14	24	6	6	7	23	5	9	16	14	5	11	15	14	2	11
#YMR223W UBP8 SGDID:S000004836, Chr XIII from 716715-718130, Genome Release 64-1-1, Verified ORF, "Ubiquitin-specific protease that is a component of the SAGA (Spt-Ada-Gcn5-Acetyltransferase) acetylation complex; required for SAGA-mediated deubiquitination of histone H2B"
YMR223W	471	1.5026	7.3847	-0.3057	0.0340	0.0552	0.0488	0.0488	0.0531	0.0552	0.0446	0.0786	0.0807	0.0870	0.0212	0.0743	0.0234	0.0531	0.0212	0.0913	0.0425	0.0425	0.0106	0.0340	16	26	23	23	25	26	21	37	38	41	10	35	11	25	10	43	20	20	5	16
#YMR224C MRE11 SGDID:S000004837, Chr XIII from 720653-718575, Genome Release 64-1-1, reverse complement, Verified ORF, "Subunit of a complex with Rad50p and Xrs2p (MRX complex) that functions in repair of DNA double-strand breaks and in telomere stability, exhibits nuclease activity that appears to be required for MRX function; widely conserved"
YMR224C	692	-17.2715	5.5447	-0.5980	0.0491	0.0101	0.0809	0.0723	0.0419	0.0535	0.0260	0.0549	0.0780	0.0809	0.0231	0.0636	0.0549	0.0289	0.0491	0.0766	0.0650	0.0679	0.0043	0.0188	34	7	56	50	29	37	18	38	54	56	16	44	38	20	34	53	45	47	3	13
#YMR225C MRPL44 SGDID:S000004838, Chr XIII from 721198-720960,721403-721346, Genome Release 64-1-1, reverse complement, Verified ORF, "Mitochondrial ribosomal protein of the large subunit"
YMR225C	98	5.1598	10.0866	-0.5357	0.0510	0.0000	0.0510	0.0612	0.0510	0.0204	0.0408	0.0612	0.1224	0.0714	0.0612	0.0612	0.0510	0.0510	0.0408	0.0510	0.0408	0.0816	0.0000	0.0306	5	0	5	6	5	2	4	6	12	7	6	6	5	5	4	5	4	8	0	3
#YMR226C YMR226C SGDID:S000004839, Chr XIII from 722396-721593, Genome Release 64-1-1, reverse complement, Verified ORF, "NADP(+)-dependent dehydrogenase; acts on serine, L-allo-threonine, and other 3-hydroxy acids; green fluorescent protein fusion protein localizes to the cytoplasm and nucleus; may interact with ribosomes, based on co-purification experiments"
YMR226C	267	-0.9754	6.4724	-0.1217	0.1161	0.0037	0.0637	0.0599	0.0375	0.0599	0.0112	0.0936	0.0749	0.0899	0.0112	0.0524	0.0337	0.0449	0.0449	0.0449	0.0712	0.0637	0.0000	0.0225	31	1	17	16	10	16	3	25	20	24	3	14	9	12	12	12	19	17	0	6
#YMR227C TAF7 SGDID:S000004840, Chr XIII from 724385-722613, Genome Release 64-1-1, reverse complement, Verified ORF, "TFIID subunit (67 kDa), involved in RNA polymerase II transcription initiation"
YMR227C	590	-78.1248	4.3412	-1.1088	0.0542	0.0017	0.1000	0.1797	0.0153	0.0525	0.0220	0.0542	0.1051	0.0864	0.0169	0.0407	0.0407	0.0373	0.0407	0.0475	0.0288	0.0542	0.0051	0.0169	32	1	59	106	9	31	13	32	62	51	10	24	24	22	24	28	17	32	3	10
#YMR228W MTF1 SGDID:S000004841, Chr XIII from 724626-725651, Genome Release 64-1-1, Verified ORF, "Mitochondrial RNA polymerase specificity factor with structural similarity to S-adenosylmethionine-dependent methyltransferases and functional similarity to bacterial sigma-factors, interacts with mitochondrial core polymerase Rpo41p"
YMR228W	341	-3.0575	6.1902	-0.3053	0.0323	0.0147	0.0792	0.0528	0.0587	0.0499	0.0176	0.0704	0.0880	0.1056	0.0323	0.0411	0.0557	0.0264	0.0352	0.0674	0.0528	0.0469	0.0264	0.0469	11	5	27	18	20	17	6	24	30	36	11	14	19	9	12	23	18	16	9	16
#YMR229C RRP5 SGDID:S000004842, Chr XIII from 731123-725934, Genome Release 64-1-1, reverse complement, Verified ORF, "RNA binding protein with preference for single stranded tracts of U's involved in synthesis of both 18S and 5.8S rRNAs; component of both the ribosomal small subunit (SSU) processosome and the 90S preribosome"
YMR229C	1729	-23.5985	5.8555	-0.4062	0.0561	0.0069	0.0740	0.0833	0.0399	0.0509	0.0179	0.0758	0.1047	0.0920	0.0069	0.0480	0.0289	0.0249	0.0382	0.0937	0.0567	0.0752	0.0064	0.0197	97	12	128	144	69	88	31	131	181	159	12	83	50	43	66	162	98	130	11	34
#YMR230W RPS10B SGDID:S000004843, Chr XIII from 732414-732465,732876-733141, Genome Release 64-1-1, Verified ORF, "Protein component of the small (40S) ribosomal subunit; nearly identical to Rps10Ap and has similarity to rat ribosomal protein S10"
YMR230W	105	3.0806	9.3404	-0.9019	0.0286	0.0000	0.0190	0.0952	0.0286	0.0381	0.0286	0.0476	0.0857	0.0857	0.0190	0.0476	0.0476	0.0952	0.0571	0.0381	0.0571	0.0667	0.0095	0.1048	3	0	2	10	3	4	3	5	9	9	2	5	5	10	6	4	6	7	1	11
#YMR230W-A YMR230W-A SGDID:S000028576, Chr XIII from 733268-733456, Genome Release 64-1-1, Uncharacterized ORF, "Putative protein of unknown function"
YMR230W-A	62	4.4942	8.3640	0.9048	0.0000	0.1290	0.0161	0.0000	0.0968	0.0161	0.0484	0.1129	0.0161	0.0806	0.0484	0.0806	0.0000	0.0323	0.0806	0.0968	0.0000	0.1290	0.0000	0.0161	0	8	1	0	6	1	3	7	1	5	3	5	0	2	5	6	0	8	0	1
#YMR231W PEP5 SGDID:S000004844, Chr XIII from 733545-736634, Genome Release 64-1-1, Verified ORF, "Component of CORVET tethering complex; peripheral vacuolar membrane protein required for protein trafficking and vacuole biogenesis; interacts with Pep7p"
YMR231W	1029	-22.7799	5.5277	-0.2087	0.0389	0.0175	0.0651	0.0719	0.0583	0.0360	0.0214	0.0884	0.0739	0.1088	0.0146	0.0612	0.0369	0.0321	0.0408	0.0875	0.0554	0.0583	0.0039	0.0292	40	18	67	74	60	37	22	91	76	112	15	63	38	33	42	90	57	60	4	30
#YMR232W FUS2 SGDID:S000004845, Chr XIII from 736926-738959, Genome Release 64-1-1, Verified ORF, "Cytoplasmic protein localized to the shmoo tip; required for the alignment of parental nuclei before nuclear fusion during mating"
YMR232W	677	15.1714	9.1581	-0.5158	0.0295	0.0148	0.0591	0.0665	0.0428	0.0236	0.0207	0.0694	0.1078	0.1256	0.0251	0.0709	0.0340	0.0384	0.0399	0.0886	0.0532	0.0384	0.0074	0.0443	20	10	40	45	29	16	14	47	73	85	17	48	23	26	27	60	36	26	5	30
#YMR233W TRI1 SGDID:S000004846, Chr XIII from 739185-739865, Genome Release 64-1-1, Verified ORF, "Non-essential sumoylated protein of unknown function with similarity to components of human SWI/SNF complex including SMRD3; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm, nucleus and nucleolus"
YMR233W	226	9.0320	10.0360	-0.8810	0.0177	0.0044	0.0575	0.1018	0.0221	0.0221	0.0133	0.0752	0.1283	0.1150	0.0310	0.0575	0.0619	0.0487	0.0708	0.0885	0.0221	0.0442	0.0044	0.0133	4	1	13	23	5	5	3	17	29	26	7	13	14	11	16	20	5	10	1	3
#YMR234W RNH1 SGDID:S000004847, Chr XIII from 740266-741312, Genome Release 64-1-1, Verified ORF, "Ribonuclease H1; able to bind double-stranded RNAs and RNA-DNA hybrids; associates with RNAse polymerase I; the homolog of mammalian RNAse HII (the S. cerevisiae homolog of mammalian RNAse HI is RNH201)"
YMR234W	348	15.0075	9.6763	-0.8727	0.0603	0.0144	0.0345	0.0690	0.0431	0.0718	0.0201	0.0374	0.1063	0.0546	0.0201	0.0920	0.0259	0.0345	0.0402	0.1063	0.0517	0.0460	0.0115	0.0603	21	5	12	24	15	25	7	13	37	19	7	32	9	12	14	37	18	16	4	21
#YMR235C RNA1 SGDID:S000004848, Chr XIII from 742735-741512, Genome Release 64-1-1, reverse complement, Verified ORF, "GTPase activating protein (GAP) for Gsp1p, involved in nuclear transport"
YMR235C	407	-40.7096	4.3833	-0.2767	0.0713	0.0123	0.0713	0.1302	0.0418	0.0467	0.0246	0.0467	0.0762	0.1572	0.0098	0.0516	0.0270	0.0246	0.0246	0.0516	0.0491	0.0590	0.0025	0.0221	29	5	29	53	17	19	10	19	31	64	4	21	11	10	10	21	20	24	1	9
#YMR236W TAF9 SGDID:S000004849, Chr XIII from 742971-743444, Genome Release 64-1-1, Verified ORF, "Subunit (17 kDa) of TFIID and SAGA complexes, involved in RNA polymerase II transcription initiation and in chromatin modification, similar to histone H3"
YMR236W	157	-1.9835	5.9678	-0.4796	0.0828	0.0064	0.0573	0.0637	0.0127	0.0828	0.0191	0.0191	0.0637	0.1210	0.0318	0.0446	0.0573	0.0637	0.0446	0.0637	0.0446	0.0701	0.0127	0.0382	13	1	9	10	2	13	3	3	10	19	5	7	9	10	7	10	7	11	2	6
#YMR237W BCH1 SGDID:S000004850, Chr XIII from 743749-745923, Genome Release 64-1-1, Verified ORF, "Member of the ChAPs family (Chs5p-Arf1p-binding proteins: Bch1p, Bch2p, Bud7p, Chs6p), that forms the exomer complex with Chs5p to mediate export of specific cargo proteins from the Golgi to the plasma membrane; may interact with ribosomes"
YMR237W	724	-22.7306	5.0798	-0.1425	0.0580	0.0138	0.0677	0.0608	0.0428	0.0318	0.0207	0.0884	0.0608	0.1119	0.0207	0.0580	0.0345	0.0428	0.0359	0.0967	0.0552	0.0566	0.0138	0.0290	42	10	49	44	31	23	15	64	44	81	15	42	25	31	26	70	40	41	10	21
#YMR238W DFG5 SGDID:S000004851, Chr XIII from 746353-747729, Genome Release 64-1-1, Verified ORF, "Putative mannosidase, essential glycosylphosphatidylinositol (GPI)-anchored membrane protein required for cell wall biogenesis in bud formation, involved in filamentous growth, homologous to Dcw1p"
YMR238W	458	-21.4283	4.4232	-0.1845	0.0786	0.0218	0.0655	0.0415	0.0415	0.1048	0.0131	0.0568	0.0371	0.0764	0.0371	0.0699	0.0153	0.0371	0.0240	0.0568	0.0939	0.0480	0.0284	0.0524	36	10	30	19	19	48	6	26	17	35	17	32	7	17	11	26	43	22	13	24
#YMR239C RNT1 SGDID:S000004852, Chr XIII from 749677-748262, Genome Release 64-1-1, reverse complement, Verified ORF, "RNAase III; involved in rDNA transcription and rRNA processing; also cleaves a stem-loop structure at the 3' end of U2 snRNA to ensure formation of the correct U2 3' end; involved in polyadenylation-independent transcription termination"
YMR239C	471	4.2579	8.9600	-0.7276	0.0594	0.0021	0.0658	0.0892	0.0212	0.0403	0.0127	0.0658	0.1168	0.1040	0.0191	0.0764	0.0340	0.0425	0.0467	0.0573	0.0446	0.0573	0.0064	0.0382	28	1	31	42	10	19	6	31	55	49	9	36	16	20	22	27	21	27	3	18
#YMR240C CUS1 SGDID:S000004853, Chr XIII from 751240-749930, Genome Release 64-1-1, reverse complement, Verified ORF, "Protein required for assembly of U2 snRNP into the spliceosome, forms a complex with Hsh49p and Hsh155p"
